seq,host_read_s,valid,theta_down_rad,theta_upright_rad,omega_rad_s,pivot_px,tip_px,processing_ms
49,759649.77886925,False,,,,,,0.008292030543088913
50,759649.8118685,False,,,,,,0.008375034667551517
51,759649.845377583,False,,,,,,0.007209018804132938
52,759649.87841,False,,,,,,0.006749993190169334
53,759649.912188666,False,,,,,,0.007458031177520752
54,759649.945522791,False,,,,,,0.007583992555737495
55,759649.978691875,False,,,,,,0.005875015631318092
56,759650.0121155,False,,,,,,0.007333001121878624
57,759650.045610666,False,,,,,,0.008167000487446785
58,759650.078896791,False,,,,,,0.007207971066236496
59,759650.11212425,False,,,,,,0.005249981768429279
60,759650.145590958,False,,,,,,0.007541966624557972
61,759650.178876416,False,,,,,,0.005707959644496441
62,759650.212133541,False,,,,,,0.00808399636298418
63,759650.24544325,False,,,,,,0.008375034667551517
64,759650.281218083,False,,,,,,0.008165952749550343
65,759650.312316541,False,,,,,,0.006709014996886253
66,759650.345943958,False,,,,,,0.005166977643966675
67,759650.379214666,False,,,,,,0.004416913725435734
68,759650.412487166,False,,,,,,0.006625079549849033
69,759650.44586025,False,,,,,,0.00500003807246685
70,759650.47894275,False,,,,,,0.004625064320862293
71,759650.5125745,False,,,,,,0.0024170149117708206
72,759650.546157208,False,,,,,,0.002208980731666088
73,759650.577862083,False,,,,,,0.008041970431804657
74,759650.611498708,False,,,,,,0.00958307646214962
75,759650.645255583,False,,,,,,0.007583992555737495
76,759650.678591083,False,,,,,,0.01225003506988287
77,759650.71188,False,,,,,,0.0072909751906991005
78,759650.745275458,False,,,,,,0.008416012860834599
79,759650.778631083,False,,,,,,0.00600004568696022
80,759650.81146325,False,,,,,,0.004834029823541641
81,759650.846638625,False,,,,,,0.006166985258460045
82,759650.878672541,False,,,,,,0.0061659375205636024
83,759650.912175083,False,,,,,,0.007792026735842228
84,759650.945159166,False,,,,,,0.009124982170760632
85,759650.979277125,False,,,,,,0.011500087566673756
86,759651.012944041,False,,,,,,0.010541989468038082
87,759651.046295291,False,,,,,,0.014874967746436596
88,759651.080836625,False,,,,,,0.007042079232633114
89,759651.113068208,False,,,,,,0.012708012945950031
90,759651.14619825,False,,,,,,0.017417012713849545
91,759651.186620875,False,,,,,,0.01325004268437624
92,759651.214387541,False,,,,,,0.010958989150822163
93,759651.24762925,False,,,,,,0.020875013433396816
94,759651.280191708,False,,,,,,0.027959002181887627
95,759651.318346375,False,,,,,,0.16433396376669407
96,759651.347475375,False,,,,,,0.013333046808838844
97,759651.3813245,False,,,,,,0.008125090971589088
98,759651.419783375,False,,,,,,0.09229197166860104
99,759651.448904583,False,,,,,,0.01895800232887268
100,759651.48073875,False,,,,,,0.006541959010064602
101,759651.514491041,False,,,,,,0.008291099220514297
102,759651.547236458,False,,,,,,0.008291914127767086
103,759651.580441666,False,,,,,,0.008500064723193645
104,759651.618716,False,,,,,,0.020749983377754688
105,759651.649243875,False,,,,,,0.012416043318808079
106,759651.682051916,False,,,,,,0.011874944902956486
107,759651.719830333,False,,,,,,0.013874960131943226
108,759651.746779125,False,,,,,,0.010665971785783768
109,759651.778650416,False,,,,,,0.008917064405977726
110,759651.817438416,False,,,,,,0.02154102548956871
111,759651.847997916,False,,,,,,0.01308403443545103
112,759651.879569625,False,,,,,,0.024999957531690598
113,759651.913604333,False,,,,,,0.011999974958598614
114,759651.946408708,False,,,,,,0.012792064808309078
115,759651.979178208,False,,,,,,0.008499948307871819
116,759652.020325958,False,,,,,,0.010750023648142815
117,759652.055400208,False,,,,,,0.014082994312047958
118,759652.079459416,False,,,,,,0.009416951797902584
119,759652.113599916,False,,,,,,0.013416982255876064
120,759652.147793916,False,,,,,,0.015959027223289013
121,759652.181204166,False,,,,,,0.01329102087765932
122,759652.215865166,False,,,,,,0.003583962097764015
123,759652.249793458,False,,,,,,0.007166992872953415
124,759652.284554291,False,,,,,,0.004125060513615608
125,759652.317983916,False,,,,,,0.020541949197649956
126,759652.352639375,False,,,,,,0.016625039279460907
127,759652.392286916,False,,,,,,0.018124934285879135
128,759652.427823458,False,,,,,,0.019749975763261318
129,759652.458609458,False,,,,,,0.02337503246963024
130,759652.49251525,False,,,,,,0.02104195300489664
131,759652.525141916,False,,,,,,0.024583074264228344
132,759652.558883,False,,,,,,0.02354104071855545
133,759652.594982208,False,,,,,,0.023292028345167637
134,759652.629147916,False,,,,,,0.01670804340392351
135,759652.661883791,False,,,,,,0.039041973650455475
136,759652.692954166,False,,,,,,0.014875084161758423
137,759652.721581041,False,,,,,,0.020292005501687527
138,759652.755887,False,,,,,,0.011291936971247196
139,759652.788847166,False,,,,,,0.013874960131943226
140,759652.821572541,False,,,,,,0.015832949429750443
141,759652.856298833,False,,,,,,0.011625001206994057
142,759652.894825875,False,,,,,,0.014208024367690086
143,759652.928550125,False,,,,,,0.01750001683831215
144,759652.962392291,False,,,,,,0.018625054508447647
145,759652.997142583,False,,,,,,0.01791701652109623
146,759653.032126041,False,,,,,,0.018457998521625996
147,759653.065296666,False,,,,,,0.016000005416572094
148,759653.092913416,False,,,,,,0.02295803278684616
149,759653.120030666,False,,,,,,0.018125050701200962
150,759653.152701375,False,,,,,,0.022292020730674267
151,759653.185552875,False,,,,,,0.0135831069201231
152,759653.217784625,False,,,,,,0.011750031262636185
153,759653.251748375,False,,,,,,0.016625039279460907
154,759653.286911625,False,,,,,,0.019208062440156937
155,759653.320222291,False,,,,,,0.02279097680002451
156,759653.34824975,False,,,,,,0.026124995201826096
157,759653.389281666,False,,,,,,0.018249964341521263
158,759653.422715791,False,,,,,,0.01716695260256529
159,759653.458393333,False,,,,,,0.016042031347751617
160,759653.49049475,False,,,,,,0.021082931198179722
161,759653.529325916,False,,,,,,0.022292020730674267
162,759653.561815833,False,,,,,,0.017707934603095055
163,759653.584745875,False,,,,,,0.013291952200233936
164,759653.614924125,False,,,,,,0.01300009898841381
165,759653.649574291,False,,,,,,0.015832949429750443
166,759653.681724416,False,,,,,,0.01237494871020317
167,759653.719904875,False,,,,,,0.017666956409811974
168,759653.753029541,False,,,,,,0.02245791256427765
169,759653.791345541,False,,,,,,0.01708301715552807
170,759653.818141041,False,,,,,,0.025791930966079235
171,759653.85422525,False,,,,,,0.017083948478102684
172,759653.888302083,False,,,,,,0.02287491224706173
173,759653.923206541,False,,,,,,0.01779093872755766
174,759653.95831175,False,,,,,,0.013457960449159145
175,759653.992989041,False,,,,,,0.020417035557329655
176,759654.026370208,False,,,,,,0.025124987587332726
177,759654.059941583,False,,,,,,0.017458107322454453
178,759654.095206666,False,,,,,,0.03333308268338442
179,759654.126245083,False,,,,,,0.01879199407994747
180,759654.162890875,False,,,,,,0.0160830095410347
181,759654.194021,False,,,,,,0.01295795664191246
182,759654.229599875,False,,,,,,0.01366704236716032
183,759654.26303525,False,,,,,,0.01220789272338152
184,759654.296646833,False,,,,,,0.01208402682095766
185,759654.331022708,False,,,,,,0.024124979972839355
186,759654.365574333,False,,,,,,0.023875036276876926
187,759654.399817541,False,,,,,,0.024084001779556274
188,759654.433922625,False,,,,,,0.024209031835198402
189,759654.468267291,False,,,,,,0.019832979887723923
190,759654.503317208,False,,,,,,0.023875036276876926
191,759654.532885916,False,,,,,,0.023542088456451893
192,759654.569127083,False,,,,,,0.02095801755785942
193,759654.591221625,False,,,,,,0.010624993592500687
194,759654.6150265,False,,,,,,0.011625001206994057
195,759654.647101291,False,,,,,,0.006916932761669159
196,759654.680327958,False,,,,,,0.014791963621973991
197,759654.714881916,False,,,,,,0.011249911040067673
