t,theta,omega,thetaHat,x,pulseX,v,actualV,a,actualA,request,jerk,hz,mode,braking
41.85,0.0008379809962635469,-0.00850825030353595,0.001744297633746586,-0.0012107874677553534,-0.001387499998266004,0.00007820767850413991,0.00007820767850413991,0.09970954234202277,0.09970954234202277,0.09970954234202277,-2.0502935282682153,2.0855380960506538,balance,false
41.86,0.0007280307821194781,-0.013008498509246558,0.001335394444257719,-0.0012054538739326697,-0.001387499998266004,0.0009087677655793893,0.0009087677655793893,0.04260019116777713,0.042600191167777086,0.04260019116777713,-19.50953324703584,24.23380711240931,balance,false
41.87,0.0006031771049476202,-0.011044253600632109,0.00025659443365118735,-0.0011968547205415028,-0.0013499999983128791,0.0006565951412404224,0.0006565951412404224,-0.06006610758273824,-0.060066107582738185,-0.06006610758273824,-4.841037684035154,17.50920378829777,balance,false
41.88,0.0005158638410673129,-0.006307875159283912,-0.00009652423400945867,-0.0011938116303473855,-0.0013499999983128791,-0.00006825970940529194,-0.00006825970940529194,-0.07557407617598864,-0.07557407617598864,-0.07557407617598864,0.26634657296285835,1.8202589197497756,balance,false
41.89,0.000476123904558455,-0.0017734503496186168,-0.00017096904134792626,-0.0011981027917820645,-0.0013499999983128791,-0.00076902095180663,-0.00076902095180663,-0.06379653341726327,-0.06379653341726324,-0.06379653341726327,1.5983264383520739,20.507225407144166,balance,false
41.9,0.0004771135107474739,0.0018037962243682556,-0.00015233671330169805,-0.0012086631191950924,-0.0013499999983128791,-0.0013156431328590118,-0.0013156431328590118,-0.047265289773817956,-0.0472652897738179,-0.047265289773817956,1.5955851239810996,35.08381692009509,balance,false
41.910000000000004,0.0005090556894090677,0.004448013684189714,-0.00011252972496542498,-0.0012238955574450786,-0.0013499999983128791,-0.0017079642324633307,-0.0017079642324633307,-0.03322613364227724,-0.03322613364227728,-0.03322613364227724,1.228889868939452,45.545712922620964,balance,false
41.92,0.0005637331198817695,0.006392982046697427,-0.0000760117313391769,-0.001242424984663906,-0.001387499998266004,-0.001981577248302772,-0.001981577248302772,-0.023120729139281915,-0.02312072913928211,-0.023120729139281915,0.8462646395319892,52.84206002079316,balance,false
41.93,0.0006353686538988158,0.007874787467015408,-0.000048714622426851374,-0.0012632536265633305,-0.001387499998266004,-0.0021733066081654493,-0.0021733066081654493,-0.016385457770834798,-0.016385457770834964,-0.016385457770834798,0.5465040180106101,57.954842956855536,balance,false
41.94,0.0007203100226191492,0.009080100567388104,-0.000030157026831191433,-0.0012857160353301215,-0.001424999998219129,-0.00231238501945322,-0.00231238501945322,-0.012168340570120159,-0.012168340570120183,-0.012168340570120159,0.33757598620262963,61.66360059583204,balance,false
41.95,0.0008147981789025268,0.00906117492877284,0.0006498092293180275,-0.0013091138913377562,-0.001462499998172254,-0.002240274439617572,-0.002240274439617572,0.05753821715055546,0.05753821715055556,0.05753821715055546,13.878382855469217,59.74065179781107,balance,false
41.96,0.0008797836719066686,0.003371010628139316,0.0014852216699810807,-0.0013268807088257302,-0.001462499998172254,-0.0012177252569321733,-0.0012177252569321733,0.12257698532766598,0.12257698532766592,0.12257698532766598,2.266097441006712,32.472673558782134,balance,false
41.97,0.0008783306110504056,-0.0036190739177994354,0.001724500279144337,-0.0013327980121482209,-0.001462499998172254,0.000027966672672027207,0.000027966672672027207,0.1211548374165865,0.1211548374165865,0.1211548374165865,-1.4057076345449364,0.745777938852948,balance,false
41.980000000000004,0.0008103137611479644,-0.00979168860412805,0.0017464314075001878,-0.0013268008636656311,-0.001462499998172254,0.0011391046022012296,0.0011391046022012296,0.10206850856608433,0.10206850856608429,0.10206850856608433,-2.0717028717572306,30.376122763336276,balance,false
41.99,0.000691288067658417,-0.012702158421785431,0.0007912239878312912,-0.0013114931403730016,-0.001424999998219129,0.0017034322099710201,0.0017034322099710201,-0.006707461067596988,-0.006707461067596973,-0.006707461067596988,-12.094436430814298,45.424858989341615,balance,false
42,0.0005778629564915287,-0.009472471496806101,0.00008019464200245685,-0.0012963539009117164,-0.001424999998219129,0.001237574111079045,0.001237574111079045,-0.06544267093100804,-0.06544267093100799,-0.06544267093100804,-2.2757580417127885,33.00197633669367,balance,false
42.01,0.0005057198928526427,-0.004967952786281328,-0.00013227698572391454,-0.0012874252799132805,-0.001387499998266004,0.000548425339639025,0.000548425339639025,-0.06734494021633274,-0.06734494021633274,-0.06734494021633274,0.9231218741930919,14.624675741988177,balance,false
42.02,0.000476408498458083,-0.0010445050518484071,-0.0001601603504856392,-0.0012850639641593495,-0.001387499998266004,-0.0000521794808413214,-0.0000521794808413214,-0.053275698082953016,-0.053275698082953016,-0.053275698082953016,1.5850068791849747,1.3914528241745534,balance,false
42.03,0.00048162133156114004,0.0019349947712392253,-0.00013127459775587162,-0.00128794823630585,-0.001387499998266004,-0.0004997074412472699,-0.0004997074412472699,-0.03809668818438469,-0.038096688184384636,-0.03809668818438469,1.403061664292965,13.32553178325078,balance,false
42.04,0.0005123591228994334,0.0040964003307093185,-0.00009346735695577365,-0.0012946018179603072,-0.001387499998266004,-0.0008114871949306601,-0.0008114871949306601,-0.02608068619358663,-0.026080686193586593,-0.02608068619358663,1.032104789906854,21.639658558533846,balance,false
42.050000000000004,0.0005615887164146183,0.005671528979949075,-0.00006183992251824984,-0.0013038437523338509,-0.001387499998266004,-0.001023339449503418,-0.001023339449503418,-0.017682216988341257,-0.01768221698834134,-0.017682216988341257,0.6940399971060857,27.289052020869132,balance,false
42.06,0.0006245304395801709,0.006869045966049484,-0.000039108327045136367,-0.0013148444028502266,-0.001387499998266004,-0.0011679745470516223,-0.0011679745470516223,-0.012201252004548052,-0.012201252004547967,-0.012201252004548052,0.4419764361172605,31.145987960309082,balance,false
42.07,0.0006982339835887259,0.007845628177507977,-0.000023986969742234905,-0.0013270612472051828,-0.001424999998219129,-0.0012699812995166466,-0.0012699812995166466,-0.008812104899684519,-0.008812104899684611,-0.008812104899684519,0.27076292589556933,33.86616802944329,balance,false
42.08,0.0007810609094754429,0.008707456000316997,-0.000014390325266799204,-0.0013401570726995734,-0.001424999998219129,-0.0013458858384858845,-0.0013458858384858845,-0.006751772224541215,-0.0067517722245411926,-0.006751772224541215,0.16067882283358514,35.89028907115311,balance,false
42.09,0.0008540038296590581,0.00481462394249557,0.0012612960546307204,-0.001350903216253417,-0.001424999998219129,-0.0006248833746435644,-0.0006248833746435644,0.11215422458088249,0.11215422458088248,0.11215422458088249,5.467768523656615,16.663556677991167,balance,false
42.1,0.0008673946701095444,-0.0022525754337100893,0.00167185498638716,-0.001350974893705592,-0.001424999998219129,0.0006308093873427558,0.0006308093873427558,0.12824677767049855,0.12824677767049858,0.12824677767049855,-0.5127214942695912,16.82158368350047,balance,false
42.11,0.0008102192506138049,-0.009019495898506062,0.001752563938916388,-0.0013384885388651455,-0.001387499998266004,0.0018392538427726617,0.0018392538427726617,0.11279304970843797,0.11279304970843802,0.11279304970843797,-2.0119154736976395,49.046769201912774,balance,false
